doc_id,filename,authors,year,title,words_full,words_no_refs,status
doc001,Abril et al. - 2024 - An Integrated Event-Driven Real-Time Tactical-Operational Optimization Framework for Smart Port Oper.pdf,Abril et al.,2024,An Integrated Event-Driven Real-Time Tactical-Operational Optimization Framework for Smart Port Oper,17734,15354,OK
doc002,Aksentijevic et al. - 2022 - TOE framework in risk management during implementation of the Croatian national Port Community Syste.pdf,Aksentijevic et al.,2022,TOE framework in risk management during implementation of the Croatian national Port Community Syste,7239,6328,OK
doc003,Aksentijevič et al. - 2023 - Risk Management in Development of Croatian Maritime Cargo Single Window System.pdf,Aksentijevič et al.,2023,Risk Management in Development of Croatian Maritime Cargo Single Window System,3701,3165,OK
doc004,Alfaro et al. - 2017 - Public private partnership investment to execute policies of port community system in Central Americ.pdf,Alfaro et al.,2017,Public private partnership investment to execute policies of port community system in Central Americ,8159,6879,OK
doc005,Mubder e Fredriksson - 2025 - Mechanisms supporting the continuance use of Port Community Systems A Swedish case-study.pdf,Mubder e Fredriksson,2025,Mechanisms supporting the continuance use of Port Community Systems A Swedish case-study,9696,8636,OK
doc006,Amankwah-Sarfo et al. - 2019 - Digital infrastructure for port container handling and success or failure of stakeholders’ goals A.pdf,Amankwah-Sarfo et al.,2019,Digital infrastructure for port container handling and success or failure of stakeholders’ goals A,5574,5415,OK
doc007,Aryee e Hansen - 2022 - De-politicization of digital systems for trade facilitation at the port of tema A soft systems meth.pdf,Aryee e Hansen,2022,De-politicization of digital systems for trade facilitation at the port of tema A soft systems meth,11232,10154,OK
doc008,B. O. Bakari e A. P. Subriadi - 2020 - Information Systems Usage on Enhancing Port Performance Perceived Service Quality as a Mediating Rol.pdf,B. O. Bakari e A. P. Subriadi,2020,Information Systems Usage on Enhancing Port Performance Perceived Service Quality as a Mediating Rol,5308,5093,OK
doc009,Balaji - 2024 - India's blue economy priorities maritime sector.pdf,Balaji,2024,India's blue economy priorities maritime sector,5662,5558,OK
doc010,Barasti et al. - 2022 - An ICT Prototyping Framework for the Port of the Future.pdf,Barasti et al.,2022,An ICT Prototyping Framework for the Port of the Future,7690,6697,OK
doc011,Baştuğ et al. - 2020 - A value chain analysis of a seaport from the perspective of Industry 4.0.pdf,Baştuğ et al.,2020,A value chain analysis of a seaport from the perspective of Industry 4.0,12987,9407,OK
doc012,Belmoukari et al. - 2023 - Smart port a systematic literature review.pdf,Belmoukari et al.,2023,Smart port a systematic literature review,8460,6149,OK
doc013,Belsa et al. - 2023 - Innovative cognitive data platform to improve processes in European seaports.pdf,Belsa et al.,2023,Innovative cognitive data platform to improve processes in European seaports,4494,4072,OK
doc014,Beškovnik - 2015 - Introducing electronic maritime single window by port communities in the Adriatic region.pdf,Beškovnik,2015,Introducing electronic maritime single window by port communities in the Adriatic region,4368,3897,OK
doc015,Bisogno et al. - 2015 - Improving the efficiency of Port Community Systems through integrated information flows of logistic.pdf,Bisogno et al.,2015,Improving the efficiency of Port Community Systems through integrated information flows of logistic,9498,8186,OK
doc016,Bossong et al. - 2025 - Digital platforms in intermodal freight transport an analysis of emerging business models and their.pdf,Bossong et al.,2025,Digital platforms in intermodal freight transport an analysis of emerging business models and their,16763,12019,OK
doc017,Boullauazan et al. - 2023 - Developing and demonstrating a maturity model for smart ports.pdf,Boullauazan et al.,2023,Developing and demonstrating a maturity model for smart ports,10419,9108,OK
doc018,Caldeirinha et al. - 2020 - The impact of port community systems (PCS) characteristics on performance.pdf,Caldeirinha et al.,2020,The impact of port community systems (PCS) characteristics on performance,7508,6004,OK
doc019,Caldeirinha et al. - 2022 - Port Community Systems Accelerating the Transition of Seaports toward the Physical Internet.pdf,Caldeirinha et al.,2022,Port Community Systems Accelerating the Transition of Seaports toward the Physical Internet,8033,6859,OK
doc020,Carlan et al. - 2016 - How port community systems can contribute to port competitiveness Developing a cost-benefit framework.pdf,Carlan et al.,2016,How port community systems can contribute to port competitiveness Developing a cost-benefit framework,12846,9049,OK
