doc_id,dominant_topic,dominant_layer
doc001,11,technology
doc002,0,operational
doc003,0,operational
doc004,10,institutional
doc005,1,operational
doc006,7,technology
doc007,1,operational
doc008,9,institutional
doc009,2,institutional
doc010,6,operational
doc011,4,institutional
doc012,9,institutional
doc013,8,operational
doc014,5,operational
doc015,8,technology
doc016,7,technology
doc017,11,institutional
doc018,9,operational
doc019,6,operational
doc020,4,institutional
doc021,4,institutional
doc022,4,institutional
doc023,0,operational
doc024,5,operational
doc025,3,institutional
doc026,8,technology
doc027,5,operational
doc028,6,operational
doc029,6,institutional
doc030,2,institutional
doc031,4,operational
doc032,10,institutional
doc033,4,institutional
doc034,10,institutional
doc035,11,technology
doc036,0,operational
doc037,1,operational
doc038,0,operational
doc039,1,operational
doc040,5,operational
doc041,8,technology
doc042,9,institutional
doc043,1,operational
doc044,8,technology
doc045,8,technology
doc046,1,operational
doc047,9,institutional
doc048,9,institutional
doc049,10,institutional
doc050,4,institutional
doc051,5,operational
doc052,8,technology
doc053,11,technology
doc054,7,technology
doc055,3,institutional
doc056,2,institutional
doc057,10,institutional
doc058,2,institutional
doc059,6,operational
doc060,6,operational
doc061,11,technology
doc062,9,institutional
doc063,11,technology
doc064,9,institutional
doc065,8,operational
doc066,5,institutional
doc067,8,operational
doc068,8,technology
doc069,1,operational
doc070,10,institutional
doc071,0,operational
doc072,2,institutional
doc073,8,technology
doc074,9,institutional
doc075,1,institutional
doc076,1,operational
doc077,4,institutional
doc078,5,operational
doc079,5,operational
doc080,6,operational
doc081,8,institutional
doc082,10,institutional
doc083,5,operational
doc084,6,operational
doc085,10,institutional
doc086,6,operational
doc087,6,operational
doc088,5,operational
doc089,5,operational
doc090,5,operational
doc091,4,institutional
doc092,7,technology
doc093,5,operational
doc094,11,technology
doc095,5,operational
doc096,5,operational
doc097,0,operational
doc098,8,technology
doc099,5,operational
doc100,7,institutional
doc101,1,institutional
doc102,1,institutional
doc103,11,technology
doc104,7,technology
doc105,5,operational
doc106,5,operational
doc107,5,operational
doc108,4,institutional
doc109,2,institutional
doc110,11,technology
doc111,0,operational
doc112,5,operational
doc113,9,institutional
doc114,8,technology
doc115,9,institutional
doc116,10,institutional
doc117,9,institutional
doc118,10,institutional
doc119,5,operational
doc120,1,operational
doc121,10,institutional
doc122,1,operational
doc123,5,operational
doc124,4,operational
doc125,8,technology
