doc_id,dominant_topic,dominant_layer
doc001,9,technology
doc002,11,operational
doc003,11,operational
doc004,0,operational
doc005,12,operational
doc006,8,institutional
doc007,2,institutional
doc008,8,institutional
doc009,2,institutional
doc010,6,technology
doc011,3,institutional
doc012,7,institutional
doc013,9,technology
doc014,1,operational
doc015,1,operational
doc016,9,technology
doc017,3,institutional
doc018,8,institutional
doc019,9,institutional
doc020,8,institutional
doc021,10,institutional
doc022,1,operational
doc023,0,operational
doc024,9,technology
doc025,2,institutional
doc026,4,operational
doc027,11,operational
doc028,6,technology
doc029,9,technology
doc030,7,institutional
doc031,2,institutional
doc032,5,institutional
doc033,0,operational
doc034,7,institutional
doc035,10,institutional
doc036,10,institutional
doc037,5,institutional
doc038,6,technology
doc039,9,technology
doc040,1,operational
doc041,0,operational
doc042,7,institutional
doc043,0,operational
doc044,6,technology
doc045,6,technology
doc046,13,meta
doc047,4,operational
doc048,0,operational
doc049,0,operational
doc050,12,operational
doc051,6,technology
doc052,0,operational
doc053,1,operational
doc054,0,operational
doc055,11,institutional
doc056,7,institutional
doc057,12,operational
doc058,7,institutional
doc059,2,institutional
doc060,1,operational
doc061,12,operational
doc062,7,institutional
doc063,2,institutional
doc064,2,institutional
doc065,6,technology
doc066,0,operational
doc067,6,technology
doc068,4,operational
doc069,2,institutional
doc070,1,operational
doc071,13,technology
doc072,7,institutional
doc073,0,operational
doc074,5,institutional
doc075,3,institutional
doc076,12,operational
doc077,0,operational
doc078,1,operational
doc079,6,operational
doc080,9,technology
doc081,12,operational
doc082,5,institutional
doc083,1,operational
doc084,1,operational
doc085,13,meta
doc086,9,technology
doc087,0,operational
doc088,9,technology
doc089,1,operational
doc090,1,operational
doc091,10,institutional
doc092,6,technology
doc093,1,operational
doc094,7,institutional
doc095,1,operational
doc096,9,technology
doc097,13,institutional
doc098,6,technology
doc099,2,institutional
doc100,4,operational
doc101,12,operational
doc102,0,institutional
doc103,13,meta
doc104,3,institutional
doc105,11,operational
doc106,7,operational
doc107,1,operational
doc108,5,institutional
doc109,7,institutional
doc110,9,technology
doc111,11,operational
doc112,11,operational
doc113,7,institutional
doc114,6,technology
doc115,7,institutional
doc116,5,institutional
doc117,7,institutional
doc118,5,institutional
doc119,1,operational
doc120,5,institutional
doc121,5,institutional
doc122,4,operational
doc123,1,operational
doc124,3,institutional
doc125,13,meta
