doc_id,dominant_topic,dominant_layer
doc001,0,technology
doc002,5,institutional
doc003,5,institutional
doc004,6,operational
doc005,8,institutional
doc006,3,meta
doc007,7,technology
doc008,8,institutional
doc009,1,institutional
doc010,6,operational
doc011,4,institutional
doc012,11,institutional
doc013,11,institutional
doc014,6,operational
doc015,6,operational
doc016,10,technology
doc017,8,institutional
doc018,8,institutional
doc019,10,technology
doc020,6,operational
doc021,9,technology
doc022,0,technology
doc023,6,operational
doc024,11,institutional
doc025,7,technology
doc026,10,technology
doc027,6,operational
doc028,6,institutional
doc029,6,operational
doc030,11,institutional
doc031,10,technology
doc032,8,institutional
doc033,11,institutional
doc034,0,institutional
doc035,4,institutional
doc036,1,institutional
doc037,4,institutional
doc038,6,operational
doc039,2,operational
doc040,7,technology
doc041,6,operational
doc042,0,technology
doc043,2,operational
doc044,9,technology
doc045,9,technology
doc046,3,meta
doc047,8,institutional
doc048,0,institutional
doc049,6,institutional
doc050,3,meta
doc051,7,technology
doc052,6,operational
doc053,7,technology
doc054,6,operational
doc055,5,institutional
doc056,11,institutional
doc057,5,institutional
doc058,1,institutional
doc059,2,operational
doc060,7,technology
doc061,9,technology
doc062,0,technology
doc063,7,technology
doc064,7,technology
doc065,6,operational
doc066,11,institutional
doc067,6,operational
doc068,6,operational
doc069,6,operational
doc070,5,institutional
doc071,6,technology
doc072,1,institutional
doc073,6,operational
doc074,4,institutional
doc075,3,institutional
doc076,8,institutional
doc077,3,meta
doc078,6,operational
doc079,6,operational
doc080,6,operational
doc081,9,technology
doc082,8,institutional
doc083,6,operational
doc084,2,operational
doc085,7,technology
doc086,6,institutional
doc087,6,operational
doc088,6,technology
doc089,6,operational
doc090,6,technology
doc091,9,technology
doc092,5,institutional
doc093,7,technology
doc094,5,institutional
doc095,6,operational
doc096,11,institutional
doc097,3,institutional
doc098,9,technology
doc099,5,institutional
doc100,6,operational
doc101,3,meta
doc102,11,institutional
doc103,3,meta
doc104,10,technology
doc105,6,operational
doc106,6,operational
doc107,6,operational
doc108,5,institutional
doc109,1,institutional
doc110,4,institutional
doc111,6,institutional
doc112,5,institutional
doc113,0,institutional
doc114,6,operational
doc115,11,institutional
doc116,8,institutional
doc117,8,institutional
doc118,5,institutional
doc119,6,operational
doc120,8,institutional
doc121,5,institutional
doc122,6,institutional
doc123,6,operational
doc124,8,institutional
doc125,6,operational
