doc_id,dominant_topic,dominant_layer
doc001,9,operational
doc002,4,institutional
doc003,11,operational
doc004,10,institutional
doc005,7,operational
doc006,11,operational
doc007,4,institutional
doc008,7,operational
doc009,8,operational
doc010,11,operational
doc011,7,operational
doc012,3,institutional
doc013,8,operational
doc014,1,institutional
doc015,3,institutional
doc016,9,operational
doc017,3,institutional
doc018,7,operational
doc019,8,operational
doc020,11,operational
doc021,1,institutional
doc022,4,institutional
doc023,9,operational
doc024,2,technology
doc025,10,institutional
doc026,3,institutional
doc027,11,operational
doc028,8,operational
doc029,8,operational
doc030,3,institutional
doc031,8,operational
doc032,3,institutional
doc033,11,operational
doc034,3,institutional
doc035,1,institutional
doc036,8,operational
doc037,10,institutional
doc038,4,institutional
doc039,9,operational
doc040,9,operational
doc041,5,technology
doc042,11,operational
doc043,11,operational
doc044,2,technology
doc045,2,technology
doc046,6,meta
doc047,7,operational
doc048,4,institutional
doc049,11,operational
doc050,6,meta
doc051,0,operational
doc052,5,technology
doc053,1,institutional
doc054,4,institutional
doc055,2,institutional
doc056,0,operational
doc057,4,institutional
doc058,0,operational
doc059,8,operational
doc060,9,operational
doc061,1,institutional
doc062,6,meta
doc063,5,technology
doc064,6,meta
doc065,11,operational
doc066,5,operational
doc067,11,operational
doc068,2,operational
doc069,4,institutional
doc070,4,institutional
doc071,9,operational
doc072,0,operational
doc073,10,institutional
doc074,10,institutional
doc075,6,operational
doc076,7,operational
doc077,6,meta
doc078,11,operational
doc079,0,operational
doc080,9,operational
doc081,6,meta
doc082,6,meta
doc083,9,operational
doc084,3,operational
doc085,5,technology
doc086,9,operational
doc087,11,operational
doc088,9,operational
doc089,11,operational
doc090,7,operational
doc091,1,institutional
doc092,2,technology
doc093,9,operational
doc094,1,institutional
doc095,4,institutional
doc096,2,technology
doc097,3,operational
doc098,2,technology
doc099,10,institutional
doc100,7,operational
doc101,6,meta
doc102,10,institutional
doc103,5,technology
doc104,9,operational
doc105,11,operational
doc106,11,operational
doc107,4,institutional
doc108,10,institutional
doc109,0,operational
doc110,1,institutional
doc111,11,operational
doc112,4,institutional
doc113,8,operational
doc114,2,technology
doc115,6,meta
doc116,3,institutional
doc117,3,operational
doc118,3,institutional
doc119,9,operational
doc120,3,institutional
doc121,3,institutional
doc122,10,operational
doc123,11,operational
doc124,3,institutional
doc125,3,operational
