doc_id,dominant_topic,dominant_layer
doc001,6,operational
doc002,11,institutional
doc003,11,institutional
doc004,10,institutional
doc005,0,institutional
doc006,6,operational
doc007,1,institutional
doc008,4,operational
doc009,5,meta
doc010,6,operational
doc011,11,institutional
doc012,11,institutional
doc013,6,operational
doc014,4,operational
doc015,6,operational
doc016,0,institutional
doc017,1,institutional
doc018,7,institutional
doc019,11,institutional
doc020,10,institutional
doc021,6,operational
doc022,10,institutional
doc023,8,operational
doc024,8,operational
doc025,4,institutional
doc026,6,operational
doc027,8,operational
doc028,6,operational
doc029,6,operational
doc030,1,institutional
doc031,6,operational
doc032,0,institutional
doc033,6,operational
doc034,0,institutional
doc035,3,institutional
doc036,2,technology
doc037,9,institutional
doc038,6,operational
doc039,9,institutional
doc040,10,institutional
doc041,6,operational
doc042,7,institutional
doc043,9,institutional
doc044,2,technology
doc045,2,technology
doc046,5,meta
doc047,7,institutional
doc048,8,operational
doc049,11,institutional
doc050,6,operational
doc051,8,operational
doc052,6,operational
doc053,11,institutional
doc054,8,operational
doc055,1,institutional
doc056,5,meta
doc057,5,meta
doc058,5,meta
doc059,6,operational
doc060,8,operational
doc061,10,institutional
doc062,7,institutional
doc063,7,institutional
doc064,11,institutional
doc065,8,operational
doc066,6,operational
doc067,8,operational
doc068,8,operational
doc069,1,institutional
doc070,11,institutional
doc071,8,operational
doc072,5,institutional
doc073,8,operational
doc074,9,institutional
doc075,6,institutional
doc076,0,institutional
doc077,6,operational
doc078,8,operational
doc079,8,operational
doc080,6,operational
doc081,2,institutional
doc082,5,institutional
doc083,8,operational
doc084,6,operational
doc085,5,meta
doc086,11,institutional
doc087,6,operational
doc088,6,operational
doc089,8,operational
doc090,4,operational
doc091,6,operational
doc092,2,institutional
doc093,8,operational
doc094,11,institutional
doc095,8,operational
doc096,8,operational
doc097,6,operational
doc098,2,operational
doc099,9,institutional
doc100,6,operational
doc101,0,institutional
doc102,9,institutional
doc103,1,institutional
doc104,0,institutional
doc105,8,operational
doc106,8,operational
doc107,8,operational
doc108,9,institutional
doc109,5,meta
doc110,6,operational
doc111,8,operational
doc112,8,operational
doc113,7,institutional
doc114,2,operational
doc115,7,institutional
doc116,0,institutional
doc117,7,institutional
doc118,11,institutional
doc119,8,operational
doc120,9,institutional
doc121,11,institutional
doc122,9,institutional
doc123,8,operational
doc124,0,institutional
doc125,6,operational
