doc_id,dominant_topic,dominant_layer
doc001,10,technology
doc002,10,technology
doc003,10,technology
doc004,11,institutional
doc005,9,technology
doc006,6,technology
doc007,11,institutional
doc008,1,institutional
doc009,9,technology
doc010,2,operational
doc011,2,institutional
doc012,0,institutional
doc013,2,operational
doc014,3,operational
doc015,3,institutional
doc016,2,institutional
doc017,0,institutional
doc018,11,institutional
doc019,11,institutional
doc020,3,operational
doc021,11,institutional
doc022,11,institutional
doc023,4,operational
doc024,4,operational
doc025,8,meta
doc026,2,institutional
doc027,4,operational
doc028,2,institutional
doc029,2,institutional
doc030,0,institutional
doc031,11,institutional
doc032,1,institutional
doc033,4,operational
doc034,1,institutional
doc035,0,institutional
doc036,10,technology
doc037,1,institutional
doc038,10,technology
doc039,11,institutional
doc040,3,operational
doc041,4,operational
doc042,5,institutional
doc043,0,institutional
doc044,6,technology
doc045,6,technology
doc046,8,meta
doc047,2,institutional
doc048,4,institutional
doc049,10,technology
doc050,8,meta
doc051,3,operational
doc052,4,operational
doc053,7,institutional
doc054,11,institutional
doc055,11,institutional
doc056,0,institutional
doc057,2,institutional
doc058,10,technology
doc059,3,operational
doc060,3,operational
doc061,7,institutional
doc062,5,institutional
doc063,9,technology
doc064,1,institutional
doc065,3,technology
doc066,4,operational
doc067,3,operational
doc068,6,technology
doc069,11,institutional
doc070,3,operational
doc071,10,technology
doc072,0,institutional
doc073,6,technology
doc074,2,institutional
doc075,2,institutional
doc076,9,technology
doc077,8,meta
doc078,3,operational
doc079,3,operational
doc080,6,technology
doc081,8,technology
doc082,9,institutional
doc083,3,operational
doc084,3,operational
doc085,9,technology
doc086,2,institutional
doc087,4,operational
doc088,9,technology
doc089,3,operational
doc090,3,operational
doc091,11,institutional
doc092,6,technology
doc093,3,operational
doc094,10,technology
doc095,3,operational
doc096,4,operational
doc097,10,institutional
doc098,6,technology
doc099,3,operational
doc100,11,institutional
doc101,11,institutional
doc102,4,operational
doc103,9,technology
doc104,2,institutional
doc105,3,operational
doc106,3,operational
doc107,3,operational
doc108,11,institutional
doc109,10,institutional
doc110,0,institutional
doc111,10,technology
doc112,10,technology
doc113,5,institutional
doc114,2,institutional
doc115,5,institutional
doc116,1,institutional
doc117,1,institutional
doc118,1,institutional
doc119,3,operational
doc120,11,institutional
doc121,11,institutional
doc122,11,institutional
doc123,3,operational
doc124,11,institutional
doc125,2,institutional
