run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
A_k12_s1,0,10,institutional,0.5022170543670654,0.2,"governance, power, public_private, theme, political, topic, region, private, cluster, participant","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
A_k12_s1,1,10,institutional,0.43851709365844727,0.4,"smart_port, sustainability, energy, digital_transformation, smart, cluster, smart_technology, trend, assessment, port_bar","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
A_k12_s1,2,8,operational,0.50579833984375,0.6,"ict, export, msw, import, edi, pcs, shipment, send, freight_forwarder, terminal_operator","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
A_k12_s1,3,2,technology,0.45471253991127014,0.5,"variable, measurement, dimension, indonesia, optimization, event, construct, pcs, knowledge_management, service_quality","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
A_k12_s1,4,5,technology,0.3362506330013275,0.9,"blockchain, blockchain_technology, block, tradelen, smart_contract, bill_lading, chain, right, node, trust","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
A_k12_s1,5,0,operational,0.5155636668205261,0.3,"port_call, berth, attack, safety, event, imo, ais, domain, reporting, arrival","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
A_k12_s1,6,8,operational,0.5825018286705017,0.1,"layer, hub, vehicle, big_data, smart, node, prototype, topic, sensor, gate","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
A_k12_s1,7,0,operational,0.650012195110321,0.2,"barrier, digitalization, pandemic, criterion, cause, swot, numerous, dss, strength, culture","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
A_k12_s1,8,4,meta,0.5986754298210144,0.2,"pcs, digital_technology, gate, publication, tos, simulation, sustainability, digital_infrastructure, scientific, japan","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
A_k12_s1,9,3,institutional,0.5451080203056335,0.1,"business_model, dimension, taxonomy, digital_platform, cluster, ecosystem, portbase, respective, gain, terminal_operator","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
A_k12_s1,10,9,institutional,0.4190453588962555,0.6,"indicator, resilience, kpi, evaluation, average, variable, smart_port, time_window, scheduling, index","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
A_k12_s1,11,6,operational,0.44527876377105713,0.4,"module, msw, nmsw, traffic, agency, maritime_transport, montenegro, sustainability, submit, nsw","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
