run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
B_k14_s99,0,8,operational,0.5220047235488892,0.1,"pcs, vehicle, gate, tos, container_terminal, truck, maritime_transport, big_data, digital_technology, traffic","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s99,1,6,operational,0.5427353978157043,0.4,"msw, nsw, agency, imo, clearance, maritime_transport, reporting, maritime_single_window, ict, ship_agent","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
B_k14_s99,2,3,institutional,0.543876588344574,0.1,"power, attack, political, governance, safety, space, india, vulnerability, shipper, trade_facilitation","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
B_k14_s99,3,3,institutional,0.5421566963195801,0.2,"taxonomy, business_model, maturity_model, barrier, safety_security, port_rotterdam, domain, value_add, hand, pcs","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
B_k14_s99,4,8,operational,0.5049323439598083,0.5,"pcs, digital_platform, import, firm, export, freight_forwarder, ict, produce, portbase, import_export","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k14_s99,5,10,institutional,0.4235478639602661,0.5,"governance, dimension, ecosystem, digital_transformation, cluster, indonesia, digital_maturity, region, recommendation, score","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s99,6,5,technology,0.4175259470939636,0.8,"blockchain, nmsw, layer, block, bill_lading, shipment, tradelen, smart_contract, blockchain_technology, node","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
B_k14_s99,7,10,institutional,0.4484272301197052,0.4,"smart_port, sustainability, energy, indicator, sustainable, service_quality, evaluation, index, smart, port_bar","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k14_s99,8,3,institutional,0.6660476326942444,0.0,"variable, construct, digital_infrastructure, module, container_handling, container_terminal, test, pcs, indonesia, apc","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
B_k14_s99,9,2,technology,0.4976380467414856,0.3,"hub, optimization, event, scenario, node, employ, business_model, standardization, berth, allocation","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
B_k14_s99,10,9,institutional,0.5730499625205994,0.3,"resilience, terminal_operator, time_window, success, ict, edi, driver, dashboard, kpi, indicator","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
B_k14_s99,11,6,operational,0.5341489911079407,0.1,"module, port_rijeka, mnsw, croatia, croatian, public_private, rijeka, cimis, risk_management, concessionaire","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
B_k14_s99,12,0,operational,0.5052757263183594,0.3,"port_call, blockchain, barrier, smart_technology, publication, cluster, theme, berth, blockchain_technology, smart","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
B_k14_s99,13,4,meta,0.4271130859851837,0.3,"trend, scheduling, event, gate, attention, academic, simulation, dataset, reflect, modeling","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
