run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
C_no_domain_stop_s42,0,2,technology,0.48407989740371704,0.3,"indicator, evaluation, optimization, weight, smart_port, average, criterion, assign, event, ict","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
C_no_domain_stop_s42,1,10,institutional,0.5301963090896606,0.3,"sustainability, energy, port_bar, kpi, transition, indicator, emission, sustainable, green, time_window","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_no_domain_stop_s42,2,0,operational,0.6466060280799866,0.0,"pcs, interview, japan, soa, focal_point, enterprise, shipping_company, measurement, namely, service_orient","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
C_no_domain_stop_s42,3,4,meta,0.35512036085128784,0.7,"gate, trend, publication, cluster, theme, academic, wave, attention, journal, citation","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
C_no_domain_stop_s42,4,9,institutional,0.6176471710205078,0.1,"resilience, hub, region, disruption, survey, average, hence, india, logistic_community, variable","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
C_no_domain_stop_s42,5,10,institutional,0.5452098846435547,0.2,"governance, module, right, tradelen, party, netherlands, code, declaration, ecosystem, public_private","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_no_domain_stop_s42,6,8,operational,0.4010522961616516,0.5,"pcs, export, shipment, send, submit, import, day, ship_agent, road, reduction","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
C_no_domain_stop_s42,7,1,technology,0.5011430382728577,0.5,"msw, nmsw, safety, attack, compliance, cybersecurity, imo, montenegro, event, berth","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
C_no_domain_stop_s42,8,10,institutional,0.47810012102127075,0.2,"dimension, digital_transformation, barrier, port_call, indonesia, finding, respondent, service_quality, construct, question","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_no_domain_stop_s42,9,5,technology,0.4424920678138733,0.7,"blockchain, blockchain_technology, block, smart_technology, smart_contract, trust, node, chain, contract, protocol","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
C_no_domain_stop_s42,10,11,technology,0.4555453658103943,0.5,"business_model, taxonomy, dimension, digital_platform, pcs, sample, portbase, governance, power, cluster","taxonomy, business_model, dimension, cluster, digital_platform, respective, value_add, marketplace, geographic_scope, iteration"
C_no_domain_stop_s42,11,10,institutional,0.5428583025932312,0.3,"smart_port, smart, big_data, safety, sustainable, intelligent, industrial, sustainability, container_terminal, maritime_logistic","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
