run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
C_unigrams_s13,0,7,operational,0.5353347063064575,0.1,"energy, nmsw, emission, nsw, bar, transition, montenegro, fuel, green, consumption","msw, port_bar, montenegro, trade_facilitation, agency, average, administration, submit, india, format"
C_unigrams_s13,1,9,institutional,0.5583128333091736,0.1,"resilience, msw, optimal, disruption, driver, scenario, edi, hub, ism, wco","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
C_unigrams_s13,2,5,technology,0.39556461572647095,0.3,"blockchain, importer, bill, contract, lading, tradelen, invoice, shipment, block, manifest","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
C_unigrams_s13,3,10,institutional,0.42458510398864746,0.2,"maturity, dimension, barrier, ecosystem, inter, measurement, indonesia, domain, score, participant","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_unigrams_s13,4,3,institutional,0.5611439347267151,0.1,"border, legal, ministry, space, power, split, compliance, office, documentation, clearance","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
C_unigrams_s13,5,1,technology,0.4694761335849762,0.3,"gate, attack, event, cyber, vehicle, sensor, cybersecurity, ais, rfid, simulation","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
C_unigrams_s13,6,4,meta,0.423149973154068,0.5,"evaluation, cluster, indicator, publication, criterion, search, academic, theme, science, attention","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
C_unigrams_s13,7,0,operational,0.48881006240844727,0.2,"yes, variable, perceive, satisfaction, reliability, manager, outcome, digitalisation, portbase, berth","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
C_unigrams_s13,8,8,operational,0.5158897042274475,0.2,"kpi, vgm, layer, indicator, pcs, appointment, dashboard, average, hub, variable","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
C_unigrams_s13,9,6,operational,0.5700587630271912,0.2,"taxonomy, berth, reporting, intermodal, governmental, imo, dimension, message, allocation, departure","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
C_unigrams_s13,10,10,institutional,0.5133060812950134,0.1,"dutch, america, region, rotterdam, netherlands, foreign, cluster, law, facilitation, latin","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_unigrams_s13,11,6,operational,0.5257216691970825,0.4,"pcs, module, big, pass, prototype, enter, day, web, clearance, croatia","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
