run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
C_vocab_loose_s7,0,7,operational,0.634364902973175,0.0,"architecture, design, seaport, layer, vessel, maritime, shipping, entity, share, environment","msw, port_bar, montenegro, trade_facilitation, agency, average, administration, submit, india, format"
C_vocab_loose_s7,1,10,institutional,0.6710193157196045,0.1,"government, custom, governance, good, public_value, tradelen, public, right, network, share","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_loose_s7,2,10,institutional,0.4904909133911133,0.1,"platform, innovation, actor, dimension, digital, industry, business_model, focus, network, context","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_loose_s7,3,8,operational,0.46103766560554504,0.1,"terminal, cargo, container, ship, seaport, solution, pcs, stakeholder, supply_chain, type","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
C_vocab_loose_s7,4,6,operational,0.43339821696281433,0.0,"ship, msw, stakeholder, maritime, cargo, procedure, national, single_window, document, authority","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
C_vocab_loose_s7,5,5,technology,0.37511369585990906,0.4,"blockchain, transaction, container, network, gate, blockchain_technology, smart_gate, block, smart_contract, vehicle","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
C_vocab_loose_s7,6,9,institutional,0.5413468480110168,0.3,"strategy, resilience, smart_technology, smart, instance, network, metaverse, set, actor, port_authority","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
C_vocab_loose_s7,7,10,institutional,0.40463024377822876,0.2,"port_authority, stakeholder, activity, country, seaport, concept, governance, project, smart_port, area","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_loose_s7,8,9,institutional,0.5484687685966492,0.2,"performance, smart_port, factor, service_quality, value, integration, indicator, variable, indonesia, measure","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
C_vocab_loose_s7,9,0,operational,0.4943101108074188,0.1,"document, custom, platform, vessel, ship, cargo, port_call, actor, allow, report","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
C_vocab_loose_s7,10,4,meta,0.43595972657203674,0.0,"maritime, vessel, framework, digital, sustainability, operational, security, energy, policy, integration","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
C_vocab_loose_s7,11,1,technology,0.7085019946098328,0.1,"ghana, digital_infrastructure, affordance, goal, container_handling, importer, digital, shipping_line, stakeholder, container","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
