group,layer,2007-2014,2007-2014_mean,2007-2014_sd,2015-2018,2015-2018_mean,2015-2018_sd,2019-2022,2019-2022_mean,2019-2022_sd,2023-2026,2023-2026_mean,2023-2026_sd
k=10,operational,59.1 ± 10.8,59.12,10.79,55.4 ± 7.6,55.38,7.64,42.0 ± 11.7,42.02,11.7,29.7 ± 7.1,29.68,7.14
k=10,institutional,27.6 ± 10.0,27.64,10.03,29.2 ± 6.3,29.18,6.29,37.1 ± 11.7,37.12,11.66,37.6 ± 11.5,37.58,11.49
k=10,technology,11.8 ± 4.6,11.8,4.6,12.6 ± 2.7,12.58,2.69,15.7 ± 7.4,15.68,7.36,24.4 ± 6.4,24.37,6.36
k=10,meta,1.4 ± 1.5,1.44,1.54,2.9 ± 2.4,2.86,2.38,5.2 ± 4.5,5.17,4.48,8.4 ± 5.2,8.37,5.22
k=12,operational,52.4 ± 12.7,52.41,12.72,50.5 ± 9.1,50.51,9.09,37.5 ± 8.7,37.47,8.74,29.0 ± 5.3,29.02,5.31
k=12,institutional,31.1 ± 7.3,31.05,7.3,31.4 ± 6.5,31.44,6.52,39.2 ± 8.2,39.17,8.16,39.7 ± 8.0,39.73,8.04
k=12,technology,15.0 ± 6.8,15.04,6.82,14.9 ± 5.2,14.94,5.24,18.4 ± 4.7,18.41,4.72,24.4 ± 3.0,24.44,3.03
k=12,meta,1.5 ± 1.7,1.49,1.73,3.1 ± 2.5,3.11,2.53,5.0 ± 4.2,4.95,4.24,6.8 ± 4.6,6.81,4.57
k=14,operational,58.2 ± 14.0,58.16,13.98,52.9 ± 6.5,52.86,6.49,41.3 ± 8.5,41.26,8.52,33.8 ± 4.2,33.76,4.19
k=14,institutional,27.0 ± 11.3,26.98,11.33,28.6 ± 5.2,28.57,5.16,34.9 ± 7.4,34.85,7.42,36.1 ± 8.0,36.08,7.97
k=14,technology,12.6 ± 4.0,12.62,3.95,16.2 ± 3.7,16.23,3.67,19.4 ± 6.8,19.43,6.85,21.3 ± 5.2,21.29,5.23
k=14,meta,2.2 ± 2.5,2.25,2.51,2.3 ± 1.7,2.35,1.67,4.5 ± 2.0,4.46,2.01,8.9 ± 1.6,8.86,1.55
