k,cv_mean,cv_std
3,0.4351007510160702,0.025435023824303033
4,0.4357509184330494,0.020727594162654978
5,0.45534779392109326,0.022377125172558153
6,0.46444390632356686,0.01474674113372072
7,0.46199522220502853,0.016406928347982463
8,0.47103462130397994,0.013959583954208736
9,0.47293880258275917,0.015833556524411083
10,0.4868120581930368,0.01907034986390458
11,0.4843612126571848,0.019080708685178194
12,0.49200711004085806,0.0075425098010676594
13,0.48334420696963676,0.02377225593186492
14,0.5027781615334649,0.02860340205290949
15,0.49908683475650256,0.02872248038369842
16,0.49173280582316664,0.03625750203521043
17,0.49811030818969604,0.030253204369268157
18,0.49525788064408954,0.03640030404591934
19,0.4919094738787306,0.02680512404808411
20,0.4906521574851938,0.031101469476048176
