k,seed,c_v
3,42,0.4061510020560788
3,7,0.4538621699444496
3,13,0.4452890810476823
4,42,0.4225482482259568
4,7,0.42506352066446795
4,13,0.4596409864087235
5,42,0.42982106980436635
5,7,0.46464337601387085
5,13,0.47157893594504263
6,42,0.44864292315530496
6,7,0.47784103981455317
6,13,0.46684775600084255
7,42,0.4735738740177091
7,7,0.44321981088135165
7,13,0.46919198171602483
8,42,0.4643223666691272
8,7,0.4616990500565067
8,13,0.48708244718630594
9,42,0.48749242487751865
9,7,0.45607838194897865
9,13,0.47524560092178003
10,42,0.5082360066177634
10,7,0.47169110798247205
10,13,0.48050905997887483
11,42,0.47228406293253666
11,7,0.47444108190705525
11,13,0.5063584931319625
12,42,0.4833367703247515
12,7,0.4970552742920733
12,13,0.4956292855057495
13,42,0.48861084007636474
13,7,0.5040414944350167
13,13,0.45738028639752903
14,42,0.5078815857615512
14,7,0.5284863309630786
14,13,0.47196656787576474
15,42,0.5021164607117525
15,7,0.5261744151109118
15,13,0.4689696284468433
16,42,0.5009643073063579
16,7,0.522482164852469
16,13,0.45175194531067303
17,42,0.49910262319036147
17,7,0.5278551469992288
17,13,0.46737315437949783
18,42,0.48999826137330726
18,7,0.5340018763907609
18,13,0.4617735041682005
19,42,0.4838884487268436
19,7,0.5218094059512131
19,13,0.470030566958135
20,42,0.4907562068968473
20,7,0.5217014717193469
20,13,0.4594987938393872
