topic,rank,term,weight
0,1,port_call,0.012282249
0,2,information_sharing,0.006074114
0,3,barrier,0.0057863393
0,4,maritime_transport,0.004829019
0,5,berth,0.0045059933
0,6,arrival,0.0041804207
0,7,manager,0.0038347028
0,8,china,0.0034803639
0,9,digitalization,0.0033260651
0,10,coordinate,0.0032505118
0,11,external,0.0032217004
0,12,responsibility,0.003208747
0,13,map,0.0031208636
0,14,right,0.0030957737
0,15,shipping_company,0.0030793257
0,16,outcome,0.003046305
0,17,cause,0.003005688
0,18,digital_technology,0.002988012
0,19,early,0.0029847962
0,20,safety,0.0029352182
1,1,event,0.009022507
1,2,attack,0.0074501666
1,3,safety,0.006374975
1,4,compliance,0.0054798042
1,5,cybersecurity,0.0053746644
1,6,digital_technology,0.004835529
1,7,threat,0.00475255
1,8,vulnerability,0.0043552574
1,9,digital_infrastructure,0.00427935
1,10,detection,0.0042718695
1,11,domain,0.004172922
1,12,navigation,0.004073146
1,13,cyber_attack,0.003832343
1,14,custom_authority,0.0037654021
1,15,container_handling,0.003548085
1,16,regulatory,0.0033470246
1,17,transition,0.003242099
1,18,sequence,0.0031206848
1,19,assessment,0.0029957325
1,20,incident,0.0029913045
2,1,indonesia,0.01597247
2,2,optimization,0.013291988
2,3,service_quality,0.012905699
2,4,resilience,0.012661746
2,5,variable,0.0121061085
2,6,event,0.009340267
2,7,hub,0.009191115
2,8,strategic_alliance,0.0076971585
2,9,average,0.007695367
2,10,disruption,0.007010264
2,11,construct,0.0067545758
2,12,employ,0.006648504
2,13,berth,0.0064890883
2,14,maximum,0.0063104373
2,15,hour,0.0062780087
2,16,modeling,0.006276393
2,17,container_terminal,0.0060474076
2,18,assign,0.0058926768
2,19,solve,0.00574092
2,20,destination,0.0056482893
3,1,barrier,0.007543103
3,2,terminal_operator,0.006193357
3,3,ict,0.005948778
3,4,edi,0.0058990694
3,5,success,0.0057137106
3,6,power,0.0057133106
3,7,maturity_model,0.0052764826
3,8,shipping_line,0.004611421
3,9,participant,0.004056997
3,10,knowledge_management,0.003907046
3,11,political,0.0037519094
3,12,shipper,0.0036787956
3,13,successful,0.003507381
3,14,module,0.0033783657
3,15,apc,0.003062036
3,16,respect,0.0029313362
3,17,force,0.0028741448
3,18,space,0.0028523756
3,19,latter,0.0028280031
3,20,competition,0.0027355466
4,1,publication,0.012314682
4,2,cluster,0.012111498
4,3,trend,0.011954136
4,4,academic,0.009826683
4,5,big_data,0.009133782
4,6,gate,0.009089994
4,7,theme,0.007858061
4,8,wave,0.007856729
4,9,search,0.007774735
4,10,topic,0.007147151
4,11,publish,0.007007158
4,12,attention,0.0064567807
4,13,maritime_logistic,0.0064559346
4,14,iot,0.0056667267
4,15,simulation,0.005567262
4,16,systematic,0.005544344
4,17,scientific,0.0052221827
4,18,smart_port,0.0050027925
4,19,sensor,0.004986891
4,20,reflect,0.004886115
5,1,blockchain,0.05846221
5,2,blockchain_technology,0.0138770025
5,3,block,0.01042389
5,4,tradelen,0.009789328
5,5,smart_contract,0.009708396
5,6,layer,0.00908576
5,7,node,0.0086908
5,8,chain,0.008079669
5,9,bill_lading,0.007974109
5,10,trust,0.0077760634
5,11,protocol,0.0065292194
5,12,contract,0.0064332415
