year,n_docs,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
2007,1,0.778374969959259,9.230948489857838e-05,9.230925934389234e-05,0.11894667148590088,9.230450086761266e-05,9.23137049539946e-05,9.23088300623931e-05,9.230837895302102e-05,0.10184765607118607,9.230284194927663e-05,9.231254080077633e-05,9.231107105733827e-05
2008,1,0.24448448419570923,0.3591301143169403,0.00010037869651569054,0.03888745233416557,0.00010038138862000778,0.00010037387255579233,0.19838522374629974,0.00010038266918854788,0.13468992710113525,0.00010037656466010958,0.00010038161417469382,0.023820511996746063
2009,1,0.012053760699927807,0.05881831794977188,0.0001962190290214494,0.2527098059654236,0.00019618739315774292,0.00019621619139797986,0.1394805610179901,0.04601622372865677,0.4639417231082916,0.0001961963134817779,0.025998640805482864,0.0001961801463039592
2011,1,8.590109791839495e-05,0.016600364819169044,8.589627395849675e-05,0.1666245460510254,8.589461504016072e-05,8.589860226493329e-05,8.589712524553761e-05,0.5182004570960999,0.28115707635879517,8.5892403149046e-05,0.01681631989777088,8.590070501668379e-05
2012,3,0.029220684145305615,0.13506644747879668,0.05807934705080697,0.086290342498008,0.00010407790978206322,0.014858918507040167,0.04939443056597762,0.051691507035381314,0.15072328357200604,0.1540142895998239,0.2658412580688794,0.004715382521681022
2013,3,0.02367311829099587,0.04985599248417808,0.013849034905433655,0.11304289226730664,0.010659486339136492,0.021533216357056517,0.23703179756800333,0.030674728002243985,0.3393258675932884,9.813217911869287e-05,0.12490635489424069,0.03534942694629232
2014,2,0.006357836671668338,0.1827758029103279,0.013287365098221926,0.09341185912489891,0.00013279676568345167,0.004265725787263364,0.3824145421385765,0.05743413046002388,0.2595215141773224,0.00013278692131279968,0.00013279321137815714,0.00013279049017000943
2015,4,0.023814379228497273,0.030870432121446356,0.0053591858413710725,0.02988082100637257,0.00013492721336660907,0.009466929814152536,0.19876194601965835,0.25050415295118,0.3852279677921615,0.0001349260510323802,0.06570937894866802,0.00013492480684362818
2016,5,0.011228532280074432,0.0013330832021893001,0.031309898833569605,0.20229606873181183,0.00011514402722241357,0.024244768361677417,0.28321238446660574,0.12692113716475434,0.2717143088579178,0.031713314514490776,0.015796200730255804,0.00011514194629853591
2017,6,0.08712099881449831,0.018326238011165213,0.004194033701423905,0.24065523181222184,0.0828984109684825,0.01628172740553661,0.17598316875955788,0.04243420092825545,0.03209111047908664,0.00890189416895737,0.2697211059930851,0.021391920286987443
2018,5,0.06164268798893317,0.049189504934474826,0.12484029101688066,0.11124605378136039,0.008603377945837565,0.008361479197628797,0.15961081272907904,0.03181096948537743,0.2769447058439255,0.05481716540234629,0.10938615030900109,0.003546812557033263
2019,11,0.0970557218434723,0.10995795499514895,0.031158448491293133,0.10572117235014131,0.02167058581207212,0.013324482100208777,0.08672162076122318,0.19140909970089773,0.14197061261670155,0.05601506566414504,0.1425655726482298,0.0024296703678291206
2020,13,0.07661920929911922,0.05206007000462985,0.0477993500350679,0.06827850584690728,0.029966403894202534,0.08785997485196836,0.14108060516725976,0.1727195738878016,0.17479787972339322,0.049178402668565886,0.09273837781746316,0.006901667866399153
2021,6,0.061357944521053774,0.03178516812598294,0.011418661635010116,0.02479417107194119,0.03217487247457029,0.039060106177203124,0.1550802925133515,0.10768702895681297,0.28148459817748517,0.00013361722327924022,0.24283457702646652,0.012188975358488582
2022,15,0.0889250759826003,0.034865141923849784,0.00957563885919323,0.14441428576489368,0.06207010698490194,0.09337312420248053,0.10539345774644365,0.023803446019883268,0.1414566188036891,0.05388298648103955,0.19876457798090996,0.04347557946069477
2023,13,0.10567773005375504,0.04674248475119104,0.018244415327269684,0.09420833585570038,0.017508267274724158,0.13082195926668086,0.1275526396139657,0.10085403933072275,0.08327528379259792,0.16983768431097046,0.09969889838584305,0.005578264852654404
2024,12,0.19711317491813438,0.05647427125071166,0.15663022479839128,0.0642788727855077,0.038431378694440355,0.0120676721635391,0.030076942434182758,0.05930387865555531,0.07928661976590472,0.06429194159954932,0.24195200611332743,9.302376717338727e-05
2025,20,0.1026874728770963,0.17100205344231653,0.046932671219292385,0.019264591888895666,0.1146518393949009,0.020766015892058932,0.013884637971295887,0.06107068646833795,0.0829422773672377,0.09755611499313091,0.23513180147474486,0.03410985212021842
2026,3,0.09982148185372353,0.2301724155743917,0.052006968607505165,0.019374409469795257,0.26437993347644806,4.992599133402109e-05,0.027440946409721317,0.01016319376261284,0.004590589048651357,0.04253891720145475,0.24773831789692244,0.0017228844662895426
