doc_id,dominant_topic,dominant_layer
doc001,10,operational
doc002,7,operational
doc003,7,operational
doc004,9,institutional
doc005,4,operational
doc006,4,operational
doc007,9,institutional
doc008,2,institutional
doc009,2,institutional
doc010,8,technology
doc011,7,operational
doc012,11,institutional
doc013,9,institutional
doc014,4,operational
doc015,7,operational
doc016,9,institutional
doc017,11,institutional
doc018,7,operational
doc019,1,institutional
doc020,9,institutional
doc021,1,institutional
doc022,9,institutional
doc023,7,operational
doc024,10,operational
doc025,4,operational
doc026,7,operational
doc027,7,operational
doc028,7,institutional
doc029,9,institutional
doc030,11,institutional
doc031,9,institutional
doc032,9,institutional
doc033,3,technology
doc034,11,institutional
doc035,1,institutional
doc036,7,operational
doc037,11,institutional
doc038,7,operational
doc039,9,institutional
doc040,10,operational
doc041,5,meta
doc042,7,institutional
doc043,3,technology
doc044,6,technology
doc045,6,technology
doc046,11,institutional
doc047,7,operational
doc048,7,operational
doc049,7,operational
doc050,5,meta
doc051,9,institutional
doc052,9,institutional
doc053,3,technology
doc054,3,technology
doc055,9,institutional
doc056,11,institutional
doc057,0,institutional
doc058,6,institutional
doc059,10,operational
doc060,10,operational
doc061,7,operational
doc062,5,meta
doc063,8,technology
doc064,3,technology
doc065,9,operational
doc066,9,institutional
doc067,7,operational
doc068,7,operational
doc069,9,institutional
doc070,3,technology
doc071,7,operational
doc072,11,institutional
doc073,7,operational
doc074,7,institutional
doc075,11,institutional
doc076,4,operational
doc077,11,institutional
doc078,10,operational
doc079,10,operational
doc080,10,operational
doc081,11,institutional
doc082,11,institutional
doc083,9,operational
doc084,7,operational
doc085,10,institutional
doc086,9,institutional
doc087,8,technology
doc088,10,operational
doc089,9,operational
doc090,4,operational
doc091,1,institutional
doc092,6,technology
doc093,10,operational
doc094,1,institutional
doc095,9,institutional
doc096,10,operational
doc097,7,operational
doc098,6,technology
doc099,4,operational
doc100,9,institutional
doc101,11,institutional
doc102,5,institutional
doc103,5,institutional
doc104,9,institutional
doc105,7,operational
doc106,9,institutional
doc107,9,operational
doc108,9,institutional
doc109,11,institutional
doc110,1,institutional
doc111,7,operational
doc112,7,operational
doc113,7,operational
doc114,6,institutional
doc115,5,meta
doc116,0,institutional
doc117,2,institutional
doc118,9,institutional
doc119,7,operational
doc120,11,institutional
doc121,9,institutional
doc122,7,operational
doc123,7,operational
doc124,9,institutional
doc125,7,operational
