doc_id,dominant_topic,dominant_layer
doc001,7,technology
doc002,5,operational
doc003,5,operational
doc004,2,institutional
doc005,0,operational
doc006,0,operational
doc007,11,institutional
doc008,4,operational
doc009,2,institutional
doc010,8,technology
doc011,6,operational
doc012,3,institutional
doc013,0,operational
doc014,4,operational
doc015,10,operational
doc016,3,institutional
doc017,3,institutional
doc018,6,operational
doc019,6,operational
doc020,11,institutional
doc021,12,institutional
doc022,11,institutional
doc023,6,operational
doc024,10,operational
doc025,12,institutional
doc026,10,operational
doc027,6,operational
doc028,6,operational
doc029,6,operational
doc030,2,institutional
doc031,12,institutional
doc032,12,institutional
doc033,6,operational
doc034,2,institutional
doc035,7,technology
doc036,10,operational
doc037,11,institutional
doc038,6,operational
doc039,6,operational
doc040,7,technology
doc041,6,operational
doc042,3,institutional
doc043,12,institutional
doc044,13,technology
doc045,13,technology
doc046,9,meta
doc047,0,operational
doc048,6,operational
doc049,2,institutional
doc050,9,meta
doc051,2,institutional
doc052,6,operational
doc053,9,operational
doc054,11,institutional
doc055,0,operational
doc056,3,institutional
doc057,0,operational
doc058,2,institutional
doc059,11,institutional
doc060,11,institutional
doc061,10,operational
doc062,3,institutional
doc063,9,meta
doc064,2,institutional
doc065,6,operational
doc066,6,operational
doc067,8,technology
doc068,10,operational
doc069,6,operational
doc070,6,operational
doc071,7,technology
doc072,2,institutional
doc073,6,operational
doc074,11,institutional
doc075,11,institutional
doc076,0,operational
doc077,6,operational
doc078,2,institutional
doc079,2,institutional
doc080,6,operational
doc081,13,technology
doc082,3,institutional
doc083,11,operational
doc084,10,operational
doc085,9,institutional
doc086,6,operational
doc087,8,technology
doc088,7,technology
doc089,8,operational
doc090,4,operational
doc091,12,institutional
doc092,12,operational
doc093,11,institutional
doc094,2,institutional
doc095,11,institutional
doc096,10,operational
doc097,6,operational
doc098,13,technology
doc099,11,institutional
doc100,12,operational
doc101,12,institutional
doc102,11,institutional
doc103,9,meta
doc104,3,institutional
doc105,5,operational
doc106,2,institutional
doc107,11,institutional
doc108,11,institutional
doc109,2,institutional
doc110,7,technology
doc111,5,operational
doc112,5,operational
doc113,10,operational
doc114,6,operational
doc115,3,institutional
doc116,3,institutional
doc117,3,institutional
doc118,2,institutional
doc119,10,operational
doc120,11,institutional
doc121,0,operational
doc122,11,operational
doc123,2,operational
doc124,0,operational
doc125,10,operational
