doc_id,dominant_topic,dominant_layer
doc001,7,operational
doc002,8,operational
doc003,8,operational
doc004,11,operational
doc005,2,institutional
doc006,10,technology
doc007,2,institutional
doc008,9,technology
doc009,1,meta
doc010,11,technology
doc011,8,operational
doc012,2,institutional
doc013,10,technology
doc014,7,operational
doc015,10,operational
doc016,2,institutional
doc017,2,institutional
doc018,2,institutional
doc019,9,technology
doc020,2,institutional
doc021,2,institutional
doc022,3,technology
doc023,7,operational
doc024,10,institutional
doc025,4,institutional
doc026,2,operational
doc027,11,operational
doc028,0,technology
doc029,0,technology
doc030,2,institutional
doc031,5,operational
doc032,2,institutional
doc033,10,technology
doc034,8,operational
doc035,9,technology
doc036,4,institutional
doc037,6,operational
doc038,4,institutional
doc039,2,institutional
doc040,7,operational
doc041,10,technology
doc042,10,technology
doc043,11,operational
doc044,0,technology
doc045,0,technology
doc046,1,meta
doc047,2,institutional
doc048,8,operational
doc049,8,operational
doc050,5,operational
doc051,11,operational
doc052,10,technology
doc053,0,technology
doc054,2,institutional
doc055,6,operational
doc056,1,meta
doc057,0,technology
doc058,1,meta
doc059,10,technology
doc060,3,technology
doc061,4,institutional
doc062,3,technology
doc063,9,technology
doc064,10,technology
doc065,6,operational
doc066,10,technology
doc067,4,institutional
doc068,6,operational
doc069,2,institutional
doc070,11,operational
doc071,7,technology
doc072,1,meta
doc073,6,operational
doc074,6,operational
doc075,6,operational
doc076,2,institutional
doc077,5,operational
doc078,11,operational
doc079,11,operational
doc080,7,operational
doc081,0,technology
doc082,1,meta
doc083,7,operational
doc084,2,technology
doc085,11,technology
doc086,2,technology
doc087,11,technology
doc088,7,operational
doc089,2,operational
doc090,2,operational
doc091,2,institutional
doc092,6,operational
doc093,7,operational
doc094,8,technology
doc095,11,operational
doc096,10,institutional
doc097,10,technology
doc098,0,technology
doc099,11,operational
doc100,2,institutional
doc101,2,institutional
doc102,6,operational
doc103,10,technology
doc104,3,technology
doc105,8,operational
doc106,2,operational
doc107,11,operational
doc108,5,operational
doc109,1,meta
doc110,9,technology
doc111,8,operational
doc112,8,operational
doc113,4,institutional
doc114,2,technology
doc115,10,technology
doc116,2,institutional
doc117,2,institutional
doc118,2,institutional
doc119,7,operational
doc120,2,institutional
doc121,2,institutional
doc122,6,operational
doc123,7,operational
doc124,2,institutional
doc125,6,operational
