doc_id,dominant_topic,dominant_layer
doc001,7,operational
doc002,7,operational
doc003,7,operational
doc004,9,institutional
doc005,3,technology
doc006,8,technology
doc007,2,institutional
doc008,0,operational
doc009,7,operational
doc010,9,institutional
doc011,6,institutional
doc012,6,institutional
doc013,8,technology
doc014,1,operational
doc015,0,operational
doc016,4,technology
doc017,6,institutional
doc018,0,operational
doc019,5,meta
doc020,0,operational
doc021,0,operational
doc022,0,operational
doc023,7,operational
doc024,5,meta
doc025,2,institutional
doc026,1,operational
doc027,7,operational
doc028,8,technology
doc029,6,institutional
doc030,6,institutional
doc031,2,institutional
doc032,6,institutional
doc033,6,institutional
doc034,6,institutional
doc035,3,technology
doc036,11,institutional
doc037,6,institutional
doc038,7,operational
doc039,7,operational
doc040,1,operational
doc041,11,institutional
doc042,6,institutional
doc043,10,operational
doc044,3,technology
doc045,8,technology
doc046,6,institutional
doc047,6,institutional
doc048,7,operational
doc049,1,operational
doc050,6,institutional
doc051,7,operational
doc052,9,institutional
doc053,1,operational
doc054,1,operational
doc055,2,institutional
doc056,11,institutional
doc057,5,meta
doc058,11,institutional
doc059,7,operational
doc060,1,operational
doc061,4,technology
doc062,6,institutional
doc063,0,operational
doc064,6,institutional
doc065,1,operational
doc066,7,institutional
doc067,1,operational
doc068,8,technology
doc069,8,technology
doc070,1,operational
doc071,7,operational
doc072,6,institutional
doc073,0,operational
doc074,6,operational
doc075,6,institutional
doc076,3,technology
doc077,6,institutional
doc078,7,operational
doc079,7,operational
doc080,7,operational
doc081,6,institutional
doc082,6,institutional
doc083,1,operational
doc084,0,operational
doc085,7,operational
doc086,8,technology
doc087,9,institutional
doc088,7,operational
doc089,1,operational
doc090,1,operational
doc091,0,operational
doc092,8,technology
doc093,1,operational
doc094,7,operational
doc095,1,operational
doc096,5,meta
doc097,6,operational
doc098,8,technology
doc099,1,operational
doc100,1,operational
doc101,6,institutional
doc102,6,institutional
doc103,11,institutional
doc104,4,technology
doc105,7,operational
doc106,1,operational
doc107,1,operational
doc108,2,institutional
doc109,6,institutional
doc110,6,technology
doc111,7,operational
doc112,7,operational
doc113,6,operational
doc114,8,technology
doc115,6,institutional
doc116,6,institutional
doc117,6,institutional
doc118,6,institutional
doc119,1,operational
doc120,6,institutional
doc121,2,institutional
doc122,7,operational
doc123,1,operational
doc124,6,institutional
doc125,0,operational
