doc_id,dominant_topic,dominant_layer
doc001,11,technology
doc002,9,technology
doc003,9,technology
doc004,1,operational
doc005,2,operational
doc006,3,operational
doc007,4,institutional
doc008,6,operational
doc009,2,operational
doc010,1,institutional
doc011,1,institutional
doc012,1,institutional
doc013,11,technology
doc014,9,operational
doc015,6,operational
doc016,7,technology
doc017,1,institutional
doc018,6,operational
doc019,1,operational
doc020,4,institutional
doc021,3,operational
doc022,3,operational
doc023,9,technology
doc024,11,technology
doc025,8,operational
doc026,6,operational
doc027,9,operational
doc028,7,technology
doc029,7,technology
doc030,1,institutional
doc031,8,operational
doc032,1,institutional
doc033,1,institutional
doc034,1,institutional
doc035,4,institutional
doc036,3,operational
doc037,4,institutional
doc038,8,operational
doc039,3,operational
doc040,0,operational
doc041,3,operational
doc042,5,institutional
doc043,9,technology
doc044,11,technology
doc045,11,technology
doc046,1,institutional
doc047,8,institutional
doc048,1,institutional
doc049,1,institutional
doc050,1,institutional
doc051,8,operational
doc052,8,operational
doc053,9,technology
doc054,8,operational
doc055,8,operational
doc056,1,institutional
doc057,1,institutional
doc058,2,operational
doc059,0,operational
doc060,0,operational
doc061,10,institutional
doc062,2,operational
doc063,9,technology
doc064,1,institutional
doc065,8,operational
doc066,1,operational
doc067,6,operational
doc068,3,operational
doc069,8,operational
doc070,9,technology
doc071,11,technology
doc072,2,operational
doc073,4,institutional
doc074,4,institutional
doc075,1,institutional
doc076,2,operational
doc077,1,institutional
doc078,0,operational
doc079,9,operational
doc080,11,technology
doc081,1,institutional
doc082,1,institutional
doc083,0,operational
doc084,6,operational
doc085,9,technology
doc086,1,institutional
doc087,1,operational
doc088,2,operational
doc089,9,technology
doc090,10,institutional
doc091,3,operational
doc092,8,operational
doc093,0,operational
doc094,1,institutional
doc095,4,institutional
doc096,11,technology
doc097,1,institutional
doc098,11,technology
doc099,4,institutional
doc100,8,operational
doc101,1,institutional
doc102,1,institutional
doc103,1,institutional
doc104,7,technology
doc105,9,technology
doc106,8,institutional
doc107,4,institutional
doc108,8,operational
doc109,1,institutional
doc110,7,technology
doc111,9,technology
doc112,10,institutional
doc113,2,operational
doc114,11,technology
doc115,1,institutional
doc116,1,institutional
doc117,5,institutional
doc118,1,institutional
doc119,10,operational
doc120,4,institutional
doc121,8,operational
doc122,8,operational
doc123,9,operational
doc124,1,institutional
doc125,11,operational
