run_id,axis,variant,k,seed,layer,period,share_pct
A_k12_s1,A_seeds,reference_prepro,12,1,operational,2007-2014,60.01636637908329
A_k12_s1,A_seeds,reference_prepro,12,1,operational,2015-2018,56.0241878720808
A_k12_s1,A_seeds,reference_prepro,12,1,operational,2019-2022,44.97491324929191
A_k12_s1,A_seeds,reference_prepro,12,1,operational,2023-2026,34.14272713570578
A_k12_s1,A_seeds,reference_prepro,12,1,institutional,2007-2014,31.669569446300255
A_k12_s1,A_seeds,reference_prepro,12,1,institutional,2015-2018,31.896678565699403
A_k12_s1,A_seeds,reference_prepro,12,1,institutional,2019-2022,39.444621626599755
A_k12_s1,A_seeds,reference_prepro,12,1,institutional,2023-2026,43.38186750768121
A_k12_s1,A_seeds,reference_prepro,12,1,technology,2007-2014,8.30284231821376
A_k12_s1,A_seeds,reference_prepro,12,1,technology,2015-2018,11.402451684643893
A_k12_s1,A_seeds,reference_prepro,12,1,technology,2019-2022,12.231643550629896
A_k12_s1,A_seeds,reference_prepro,12,1,technology,2023-2026,14.61312948340113
A_k12_s1,A_seeds,reference_prepro,12,1,meta,2007-2014,0.011224509156212054
A_k12_s1,A_seeds,reference_prepro,12,1,meta,2015-2018,0.676684291120182
A_k12_s1,A_seeds,reference_prepro,12,1,meta,2019-2022,3.3488232067449846
A_k12_s1,A_seeds,reference_prepro,12,1,meta,2023-2026,7.862275794551958
A_k12_s123,A_seeds,reference_prepro,12,123,operational,2007-2014,52.76122154227778
A_k12_s123,A_seeds,reference_prepro,12,123,operational,2015-2018,48.42984378699839
A_k12_s123,A_seeds,reference_prepro,12,123,operational,2019-2022,44.32568861952556
A_k12_s123,A_seeds,reference_prepro,12,123,operational,2023-2026,32.51292576472906
A_k12_s123,A_seeds,reference_prepro,12,123,institutional,2007-2014,26.103739511563617
A_k12_s123,A_seeds,reference_prepro,12,123,institutional,2015-2018,30.989643998200332
A_k12_s123,A_seeds,reference_prepro,12,123,institutional,2019-2022,37.43015017383085
A_k12_s123,A_seeds,reference_prepro,12,123,institutional,2023-2026,40.8703018261311
A_k12_s123,A_seeds,reference_prepro,12,123,technology,2007-2014,21.13504147370501
A_k12_s123,A_seeds,reference_prepro,12,123,technology,2015-2018,20.580514594112174
A_k12_s123,A_seeds,reference_prepro,12,123,technology,2019-2022,18.24416512395449
A_k12_s123,A_seeds,reference_prepro,12,123,technology,2023-2026,26.616774196016497
A_k12_s123,A_seeds,reference_prepro,12,123,meta,2007-2014,0.0
A_k12_s123,A_seeds,reference_prepro,12,123,meta,2015-2018,0.0
A_k12_s123,A_seeds,reference_prepro,12,123,meta,2019-2022,0.0
A_k12_s123,A_seeds,reference_prepro,12,123,meta,2023-2026,0.0
A_k12_s13,A_seeds,reference_prepro,12,13,operational,2007-2014,65.13405853947916
A_k12_s13,A_seeds,reference_prepro,12,13,operational,2015-2018,59.822953055190744
A_k12_s13,A_seeds,reference_prepro,12,13,operational,2019-2022,41.73696742739089
A_k12_s13,A_seeds,reference_prepro,12,13,operational,2023-2026,31.96639835764093
A_k12_s13,A_seeds,reference_prepro,12,13,institutional,2007-2014,25.99290290963836
A_k12_s13,A_seeds,reference_prepro,12,13,institutional,2015-2018,24.427102397876297
A_k12_s13,A_seeds,reference_prepro,12,13,institutional,2019-2022,39.04081994670883
A_k12_s13,A_seeds,reference_prepro,12,13,institutional,2023-2026,43.403707308342135
A_k12_s13,A_seeds,reference_prepro,12,13,technology,2007-2014,7.484283000303549
A_k12_s13,A_seeds,reference_prepro,12,13,technology,2015-2018,11.090993522138888
A_k12_s13,A_seeds,reference_prepro,12,13,technology,2019-2022,13.160694971488232
A_k12_s13,A_seeds,reference_prepro,12,13,technology,2023-2026,19.5785517322823
A_k12_s13,A_seeds,reference_prepro,12,13,meta,2007-2014,1.3887521013505952
A_k12_s13,A_seeds,reference_prepro,12,13,meta,2015-2018,4.658952340741962
A_k12_s13,A_seeds,reference_prepro,12,13,meta,2019-2022,6.061520988304336
A_k12_s13,A_seeds,reference_prepro,12,13,meta,2023-2026,5.051342521517199
A_k12_s2,A_seeds,reference_prepro,12,2,operational,2007-2014,47.37395128589317
A_k12_s2,A_seeds,reference_prepro,12,2,operational,2015-2018,54.82954487270035
A_k12_s2,A_seeds,reference_prepro,12,2,operational,2019-2022,38.810677913999015
A_k12_s2,A_seeds,reference_prepro,12,2,operational,2023-2026,23.452939365260285
A_k12_s2,A_seeds,reference_prepro,12,2,institutional,2007-2014,32.79066580228876
A_k12_s2,A_seeds,reference_prepro,12,2,institutional,2015-2018,27.81515878845312
A_k12_s2,A_seeds,reference_prepro,12,2,institutional,2019-2022,36.95963407908695
A_k12_s2,A_seeds,reference_prepro,12,2,institutional,2023-2026,51.3377643826478
A_k12_s2,A_seeds,reference_prepro,12,2,technology,2007-2014,19.83537995850687
A_k12_s2,A_seeds,reference_prepro,12,2,technology,2015-2018,17.35529449340902
A_k12_s2,A_seeds,reference_prepro,12,2,technology,2019-2022,24.229689984349534
A_k12_s2,A_seeds,reference_prepro,12,2,technology,2023-2026,25.209296488708333
A_k12_s2,A_seeds,reference_prepro,12,2,meta,2007-2014,0.0
A_k12_s2,A_seeds,reference_prepro,12,2,meta,2015-2018,0.0
A_k12_s2,A_seeds,reference_prepro,12,2,meta,2019-2022,0.0
A_k12_s2,A_seeds,reference_prepro,12,2,meta,2023-2026,0.0
A_k12_s2024,A_seeds,reference_prepro,12,2024,operational,2007-2014,56.040995341087786
A_k12_s2024,A_seeds,reference_prepro,12,2024,operational,2015-2018,62.36477118092807
A_k12_s2024,A_seeds,reference_prepro,12,2024,operational,2019-2022,39.33722247342909
A_k12_s2024,A_seeds,reference_prepro,12,2024,operational,2023-2026,34.64617822100233
A_k12_s2024,A_seeds,reference_prepro,12,2024,institutional,2007-2014,20.44173692853898
A_k12_s2024,A_seeds,reference_prepro,12,2024,institutional,2015-2018,18.243623053494957
A_k12_s2024,A_seeds,reference_prepro,12,2024,institutional,2019-2022,28.99141609306551
A_k12_s2024,A_seeds,reference_prepro,12,2024,institutional,2023-2026,48.03514296237002
A_k12_s2024,A_seeds,reference_prepro,12,2024,technology,2007-2014,23.51727194381965
A_k12_s2024,A_seeds,reference_prepro,12,2024,technology,2015-2018,19.391606812168902
A_k12_s2024,A_seeds,reference_prepro,12,2024,technology,2019-2022,31.671361194409354
A_k12_s2024,A_seeds,reference_prepro,12,2024,technology,2023-2026,17.31867917509362
A_k12_s2024,A_seeds,reference_prepro,12,2024,meta,2007-2014,0.0
A_k12_s2024,A_seeds,reference_prepro,12,2024,meta,2015-2018,0.0
A_k12_s2024,A_seeds,reference_prepro,12,2024,meta,2019-2022,0.0
A_k12_s2024,A_seeds,reference_prepro,12,2024,meta,2023-2026,0.0
A_k12_s21,A_seeds,reference_prepro,12,21,operational,2007-2014,33.17658934744638
A_k12_s21,A_seeds,reference_prepro,12,21,operational,2015-2018,36.973604057075136
A_k12_s21,A_seeds,reference_prepro,12,21,operational,2019-2022,26.938310725535203
A_k12_s21,A_seeds,reference_prepro,12,21,operational,2023-2026,23.183878543742743
A_k12_s21,A_seeds,reference_prepro,12,21,institutional,2007-2014,43.12645065698841
A_k12_s21,A_seeds,reference_prepro,12,21,institutional,2015-2018,42.14764775664662
A_k12_s21,A_seeds,reference_prepro,12,21,institutional,2019-2022,50.69358244893212
A_k12_s21,A_seeds,reference_prepro,12,21,institutional,2023-2026,40.11340292552934
A_k12_s21,A_seeds,reference_prepro,12,21,technology,2007-2014,22.264139560259842
A_k12_s21,A_seeds,reference_prepro,12,21,technology,2015-2018,19.163021572348953
A_k12_s21,A_seeds,reference_prepro,12,21,technology,2019-2022,19.02238036022431
A_k12_s21,A_seeds,reference_prepro,12,21,technology,2023-2026,24.611013102859637
A_k12_s21,A_seeds,reference_prepro,12,21,meta,2007-2014,1.4328197873207196
A_k12_s21,A_seeds,reference_prepro,12,21,meta,2015-2018,1.715727655464434
A_k12_s21,A_seeds,reference_prepro,12,21,meta,2019-2022,3.3457283301524714
