run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
A_k12_s7,0,9,institutional,0.5289058685302734,0.4,"resilience, indicator, evaluation, smart_port, maturity_model, node, matrix, average, score, disruption","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
A_k12_s7,1,5,technology,0.3536384403705597,0.8,"blockchain, blockchain_technology, block, tradelen, smart_contract, bill_lading, chain, trust, code, protocol","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
A_k12_s7,2,3,institutional,0.44570639729499817,0.4,"governance, ecosystem, public_private, cluster, barrier, edi, region, private, success, knowledge_management","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
A_k12_s7,3,5,technology,0.646691620349884,0.1,"prototype, power, layer, pass, space, server, stack, criterion, vehicle, test","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
A_k12_s7,4,6,operational,0.52430260181427,0.3,"module, nmsw, ict, montenegro, maritime_transport, port_rijeka, mnsw, produce, italy, shipment","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
A_k12_s7,5,2,technology,0.365398645401001,0.2,"optimization, event, scheduling, truck, hour, crane, modeling, assign, congestion, allocation","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
A_k12_s7,6,8,operational,0.4730910658836365,0.3,"msw, pcs, submit, import, send, declaration, reporting, clearance, format, imo","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
A_k12_s7,7,1,technology,0.4478830397129059,0.5,"event, safety, attack, big_data, compliance, ais, navigation, time_window, cybersecurity, dashboard","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
A_k12_s7,8,4,meta,0.44711291790008545,0.6,"business_model, taxonomy, dimension, cluster, hub, publication, trend, search, gate, academic","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
A_k12_s7,9,0,operational,0.4699081480503082,0.2,"dimension, digital_transformation, indonesia, port_call, variable, barrier, measurement, service_quality, organizational, construct","port_call, information_sharing, barrier, maritime_transport, berth, arrival, manager, china, digitalization, coordinate"
A_k12_s7,10,9,institutional,0.5890044569969177,0.2,"smart_technology, network_effect, smart, optimal, utility, price, direct_benefit, proposition, region, negative","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
A_k12_s7,11,10,institutional,0.45701178908348083,0.4,"smart_port, sustainability, energy, sustainable, smart, port_bar, transition, emission, green, digitalization","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
