run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
B_k10_s7,0,9,institutional,0.5246771574020386,0.6,"smart_port, resilience, indicator, evaluation, node, maturity_model, matrix, index, domain, expert","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
B_k10_s7,1,5,technology,0.4620414972305298,0.6,"blockchain, smart_port, blockchain_technology, block, smart_contract, chain, trust, participant, china, digital_technology","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
B_k10_s7,2,3,institutional,0.4316420257091522,0.4,"governance, barrier, public_private, ecosystem, cluster, edi, power, success, region, private","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
B_k10_s7,3,10,institutional,0.5262275338172913,0.4,"sustainability, energy, sustainable, port_bar, smart_port, emission, transition, green, smart, criterion","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
B_k10_s7,4,6,operational,0.5020274519920349,0.5,"module, nmsw, ict, pass, maritime_transport, prototype, pcs, montenegro, port_rijeka, mnsw","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
B_k10_s7,5,2,technology,0.366375207901001,0.2,"optimization, scheduling, event, truck, crane, modeling, hour, congestion, smart_port, assign","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
B_k10_s7,6,8,operational,0.465908408164978,0.5,"msw, pcs, declaration, send, submit, shipment, import, export, custom_declaration, check","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
B_k10_s7,7,1,technology,0.4581664502620697,0.5,"big_data, event, safety, attack, kpi, ais, navigation, compliance, cybersecurity, time_window","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
B_k10_s7,8,4,meta,0.4674925208091736,0.4,"business_model, taxonomy, dimension, hub, cluster, smart, smart_technology, trend, gate, publication","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
B_k10_s7,9,10,institutional,0.46989506483078003,0.3,"dimension, digital_transformation, indonesia, port_call, service_quality, measurement, variable, organizational, construct, ecosystem","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
