run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
C_vocab_strict_s7,0,10,institutional,0.4313383400440216,0.3,"smart_port, digital_transformation, service_quality, criterion, indonesia, index, publication, score, energy, cluster","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_strict_s7,1,1,technology,0.5894379615783691,0.4,"attack, threat, cybersecurity, vulnerability, navigation, stack, autonomous, asset, mobility, server","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
C_vocab_strict_s7,2,8,operational,0.5086938738822937,0.3,"layer, prototype, pass, logistic_chain, module, shipment, gate, route, destination, physical_internet","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
C_vocab_strict_s7,3,9,institutional,0.6082530617713928,0.1,"smart_technology, utility, cross_border, optimal, price, proposition, profit, positive, blockchain, negative","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
C_vocab_strict_s7,4,2,technology,0.49326711893081665,0.0,"gate, scheduling, kpi, modeling, indicator, berth, time_window, simulation, schedule, hour","indonesia, optimization, service_quality, resilience, variable, event, hub, strategic_alliance, average, disruption"
C_vocab_strict_s7,5,10,institutional,0.487993061542511,0.0,"business_model, taxonomy, cluster, construct, indicator, qualitative, firm, production, value_add, space","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_strict_s7,6,3,institutional,0.46866124868392944,0.2,"ecosystem, edi, data_quality, political, standardization, shipper, shipping_line, message, configuration, responsibility","barrier, terminal_operator, ict, edi, success, power, maturity_model, shipping_line, participant, knowledge_management"
C_vocab_strict_s7,7,10,institutional,0.5803253650665283,0.1,"energy, emission, green, fuel, energy_efficiency, funding, indicator, reflect, estimate, consumption","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_strict_s7,8,6,operational,0.40629908442497253,0.4,"msw, module, port_call, berth, reporting, imo, agency, nsw, maritime_single_window, clearance","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
C_vocab_strict_s7,9,1,technology,0.679050087928772,0.1,"digital_technology, theme, big_data, portbase, publication, custom_authority, trade_facilitation, port_rotterdam, ais, keceli","event, attack, safety, compliance, cybersecurity, digital_technology, threat, vulnerability, digital_infrastructure, detection"
C_vocab_strict_s7,10,8,operational,0.43833208084106445,0.4,"import, digital_platform, freight_forwarder, custom_declaration, export_process, forwarder, cargo_manifest, import_export, shipment, shipping_agency","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
C_vocab_strict_s7,11,5,technology,0.3733381927013397,0.7,"blockchain, resilience, blockchain_technology, block, tradelen, smart_contract, bill_lading, code, freight_forwarder, trust","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
