group,layer,2007-2014,2007-2014_mean,2007-2014_sd,2015-2018,2015-2018_mean,2015-2018_sd,2019-2022,2019-2022_mean,2019-2022_sd,2023-2026,2023-2026_mean,2023-2026_sd
unigrams,operational,42.3 ± 9.8,42.28,9.83,47.2 ± 5.0,47.18,5.02,39.2 ± 8.3,39.22,8.29,31.4 ± 7.7,31.37,7.68
unigrams,institutional,36.1 ± 3.0,36.14,3.01,33.1 ± 3.6,33.06,3.64,35.0 ± 8.4,34.97,8.44,35.5 ± 6.2,35.55,6.2
unigrams,technology,20.7 ± 10.6,20.7,10.58,17.7 ± 6.0,17.66,5.97,20.8 ± 5.9,20.78,5.89,22.4 ± 7.2,22.37,7.18
unigrams,meta,0.9 ± 0.9,0.89,0.9,2.1 ± 0.9,2.1,0.94,5.0 ± 2.5,5.04,2.51,10.7 ± 2.0,10.71,2.0
vocab_loose,operational,53.5 ± 5.3,53.45,5.29,61.8 ± 8.0,61.77,8.04,44.4 ± 4.9,44.38,4.88,33.2 ± 4.4,33.24,4.39
vocab_loose,institutional,38.1 ± 13.6,38.07,13.57,32.8 ± 7.7,32.78,7.69,42.9 ± 5.0,42.9,5.0,42.5 ± 5.1,42.54,5.13
vocab_loose,technology,6.1 ± 8.8,6.1,8.83,3.4 ± 2.3,3.4,2.26,8.1 ± 4.5,8.11,4.54,10.3 ± 9.0,10.29,8.98
vocab_loose,meta,2.4 ± 0.9,2.38,0.89,2.0 ± 0.8,2.05,0.78,4.6 ± 1.1,4.6,1.06,13.9 ± 9.3,13.93,9.33
vocab_strict,operational,50.4 ± 19.3,50.36,19.29,52.1 ± 7.3,52.05,7.27,35.7 ± 6.3,35.69,6.29,22.2 ± 7.6,22.22,7.63
vocab_strict,institutional,31.8 ± 15.3,31.77,15.3,29.8 ± 2.2,29.81,2.19,40.8 ± 3.5,40.8,3.51,47.2 ± 3.1,47.22,3.13
vocab_strict,technology,17.8 ± 5.8,17.78,5.79,16.7 ± 3.4,16.75,3.4,21.8 ± 4.4,21.8,4.35,29.4 ± 7.7,29.45,7.69
vocab_strict,meta,0.1 ± 0.2,0.09,0.15,1.4 ± 2.4,1.38,2.4,1.7 ± 3.0,1.71,2.96,1.1 ± 1.9,1.11,1.93
no_domain_stop,operational,45.3 ± 21.9,45.29,21.92,45.8 ± 15.5,45.8,15.49,28.5 ± 14.3,28.5,14.27,23.1 ± 12.7,23.08,12.71
no_domain_stop,institutional,32.3 ± 12.1,32.31,12.1,37.0 ± 15.8,36.97,15.82,48.3 ± 10.9,48.33,10.87,48.4 ± 4.4,48.44,4.39
no_domain_stop,technology,22.3 ± 10.3,22.32,10.3,15.1 ± 9.1,15.13,9.06,19.2 ± 8.5,19.23,8.5,24.1 ± 4.3,24.08,4.33
no_domain_stop,meta,0.1 ± 0.1,0.08,0.14,2.1 ± 1.8,2.09,1.85,3.9 ± 3.5,3.94,3.47,4.4 ± 4.2,4.4,4.2
